Periodo,Regiao ,Instituicao,No Total de Partos,No Cesarianas
2015-04,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",151,71
2015-05,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2015-05,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2015-05,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2015-05,Regiao de Saude LVT,Centro Hospitalar do Oeste,545,168
2015-05,Regiao de Saude LVT,"Hospital de Cascais, PPP",1024,275
2015-05,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",913,244
2015-05,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-05,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",964,291
2015-05,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",929,226
2015-06,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",889,261
2015-06,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",2341,677
2016-03,Regiao de Saude LVT,"Hospital de Cascais, PPP",634,186
2016-03,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",401,104
2016-03,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",634,177
2016-03,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-03,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",340,125
2016-03,Regiao de Saude Norte,"Hospital da Senhora da Oliveira, Guimaraes, EPE",491,148
2016-03,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2016-03,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",367,110
2016-04,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1134,292
2016-04,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",536,132
2016-04,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",1499,406
2016-04,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2016-04,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",480,177
2016-04,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2016-04,Regiao de Saude LVT,"Hospital de Loures, PPP",816,164
2016-04,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",827,220
2016-04,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-04,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",554,186
2016-04,Regiao de Saude Norte,"Hospital de Braga, PPP",917,238
2016-04,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2016-05,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-05,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",678,192
2016-05,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1061,274
2016-05,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-05,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1027,311
2016-05,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",306,96
2016-05,Regiao de Saude Norte,"Hospital da Senhora da Oliveira, Guimaraes, EPE",833,241
2016-05,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2016-05,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",589,164
2016-06,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",265,104
2016-06,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1004,282
2016-06,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",195,52
2016-06,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",734,237
2016-06,Regiao de Saude LVT,Centro Hospitalar do Oeste,699,207
2016-06,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",395,103
2016-06,Regiao de Saude LVT,"Hospital de Cascais, PPP",1252,353
2016-06,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",835,232
2016-06,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1298,334
2016-06,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-06,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",820,278
2016-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",610,167
2016-07,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2016-07,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",329,131
2016-07,Regiao de Saude LVT,Centro Hospitalar do Oeste,822,260
2016-07,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1542,433
2016-07,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-07,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-07,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",441,138
2016-07,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",793,273
2016-07,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",965,334
2016-07,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2016-07,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",841,237
2016-08,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",2425,624
2016-08,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2016-08,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2016-08,Regiao de Saude LVT,"Hospital de Cascais, PPP",1667,455
2016-08,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-08,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",1038,298
2016-09,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",870,237
2016-09,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",827,219
2016-09,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-09,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",433,174
2016-09,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1166,360
2016-09,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",892,245
2016-09,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-09,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1257,416
2016-09,Regiao de Saude Norte,"Hospital de Braga, PPP",2242,606
2016-09,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2016-09,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",384,157
2016-10,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4064,1042
2016-10,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-10,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",483,201
2016-10,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",345,89
2016-10,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2104,565
2016-10,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1379,405
2016-10,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",2272,581
2016-10,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1034,382
2016-10,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2016-11,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2016-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2316,623
2016-11,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2016-11,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1521,446
2016-11,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-11,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",2981,835
2016-11,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",2212,566
2016-11,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2016-11,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",1443,404
2016-11,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",465,191
2016-12,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",1162,320
2016-12,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",532,205
2016-12,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-12,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",404,102
2016-12,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1572,476
2016-12,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1667,493
2016-12,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",1192,327
2016-12,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",2738,733
2016-12,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2017-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2017-01,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",418,126
2017-01,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",48,18
2013-10,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-09,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",839,306
2013-09,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1125,342
2013-09,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",390,160
2013-09,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",2608,817
2013-09,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",847,257
2013-09,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",604,171
2013-09,Regiao de Saude LVT,"Hospital de Loures, PPP",1581,341
2013-09,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2013-09,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2013-09,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2013-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",321,115
2013-07,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",208,58
2013-06,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",798,197
2013-07,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1365,458
2013-07,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",861,307
2013-06,Regiao de Saude LVT,"Hospital de Loures, PPP",1014,228
2013-07,Regiao de Saude LVT,"Hospital de Loures, PPP",1180,259
2013-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-07,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2013-06,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-08,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",246,65
2013-08,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1104,336
2013-08,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",1000,370
2013-08,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",1305,384
2013-08,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",738,218
2013-08,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",1889,679
2013-08,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",525,152
2013-08,Regiao de Saude LVT,"Hospital de Cascais, PPP",1533,479
2013-08,Regiao de Saude Norte,"Hospital de Braga, PPP",1698,512
2013-08,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2013-10,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4048,1184
2013-11,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4424,1297
2013-03,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",1149,353
2013-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",936,243
2013-11,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",1043,398
2013-11,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",554,161
2013-11,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1756,517
2013-10,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",437,180
2013-11,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-10,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-12,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",1040,269
2013-12,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",568,198
2013-12,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",591,169
2013-12,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1608,482
2013-11,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",93,23
2014-01,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",146,32
2013-12,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1513,453
2014-01,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",296,104
2014-01,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",281,79
2014-01,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",187,45
2014-01,Regiao de Saude LVT,"Hospital de Loures, PPP",195,45
2014-01,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-01,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-12,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-02,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",250,56
2014-02,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",85,23
2014-01,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",125,30
2014-02,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",240,86
2014-02,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",332,103
2014-02,Regiao de Saude LVT,"Hospital de Cascais, PPP",370,101
2014-01,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-02,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-02,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2014-02,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2014-03,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",1063,296
2014-03,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",384,86
2014-03,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",444,127
2014-02,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",253,62
2014-02,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-03,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2014-02,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-05,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",658,186
2014-05,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",243,98
2014-05,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",597,156
2014-05,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",912,251
2014-05,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",518,125
2014-05,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",635,173
2014-05,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-05,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-05,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2014-06,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",347,116
2014-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",581,125
2014-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",288,74
2014-06,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1203,383
2014-07,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-06,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2014-07,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-07,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2014-09,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",764,274
2014-08,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",388,151
2014-09,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1350,350
2014-08,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1468,408
2014-08,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1491,395
2014-08,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",754,202
2014-08,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",872,205
2014-08,Regiao de Saude LVT,"Hospital de Cascais, PPP",1504,418
2014-08,Regiao de Saude LVT,"Hospital de Loures, PPP",1481,302
2014-09,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-06,Regiao de Saude Norte,"Hospital de Braga, PPP",1214,371
2014-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-05,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-05,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2014-05,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-09,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3510,957
2014-09,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",412,116
2014-09,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",2665,818
2014-09,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1878,483
2014-09,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",1554,410
2014-09,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1193,329
2014-11,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1651,409
2014-11,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",2435,751
2014-11,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",1775,475
2014-11,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1131,368
2014-11,Regiao de Saude Norte,"Hospital de Braga, PPP",2389,704
2014-11,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2014-11,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-12,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",1042,364
2014-12,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",1061,240
2014-12,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1627,410
2014-12,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4725,1294
2014-12,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-12,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2014-12,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-12,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",800,227
2014-12,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2014-12,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1636,394
2014-12,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",1301,459
2014-12,Regiao de Saude Norte,"Hospital de Braga, PPP",2609,764
2015-01,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2015-01,Regiao de Saude LVT,Centro Hospitalar do Oeste,114,38
2015-01,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2015-01,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",110,41
2015-02,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",105,23
2015-02,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",91,23
2015-02,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",44,11
2015-02,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",109,40
2015-02,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",256,70
2015-03,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",276,75
2015-03,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2015-03,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",69,17
2015-03,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",823,222
2015-03,Regiao de Saude LVT,Centro Hospitalar do Oeste,327,101
2015-03,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",183,51
2015-03,Regiao de Saude LVT,"Hospital de Loures, PPP",579,132
2015-03,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",360,87
2015-03,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",553,157
2015-03,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",292,103
2015-03,Regiao de Saude Norte,"Hospital de Braga, PPP",659,200
2015-03,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-03,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",351,83
2015-04,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",304,84
2015-04,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",616,186
2015-04,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2015-04,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",243,73
2015-04,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",721,191
2015-04,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",416,154
2015-04,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2015-05,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1382,333
2015-05,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",230,71
2015-05,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",129,26
2015-05,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1391,382
2015-05,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",314,93
2015-05,Regiao de Saude LVT,"Hospital de Loures, PPP",964,218
2015-05,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",479,126
2015-05,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",594,167
2015-05,Regiao de Saude Norte,"Hospital da Senhora da Oliveira, Guimaraes, EPE",756,244
2015-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",264,63
2015-06,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1679,409
2015-06,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",836,182
2015-06,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2015-06,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",161,39
2015-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1665,456
2015-06,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",379,112
2015-06,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1160,356
2015-06,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",350,124
2015-06,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",814,247
2015-06,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2015-06,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-07,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",651,185
2015-07,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1992,488
2013-01,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",75,33
2013-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",499,129
2013-05,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",682,168
2013-06,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",286,104
2013-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1143,393
2013-06,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1114,300
2013-06,Regiao de Saude LVT,Centro Hospitalar do Oeste,823,241
2013-07,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-06,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-05,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-03,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",370,161
2013-05,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",416,105
2013-05,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",637,229
2013-05,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",696,205
2013-05,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",1173,420
2013-04,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",827,321
2013-05,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",319,92
2013-05,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2016-05,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",1289,351
2016-05,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2016-05,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",616,177
2016-06,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",555,158
2016-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",534,151
2016-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",246,75
2016-06,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1186,316
